disease,subtype,species,population,source,external_id,occurred_at,admin_level_1,admin_level_2,admin_level_3,latitude,longitude,cases,deaths,susceptible,distance_km,relevance_score,priority
A.S.F. in wild boar,,Sus scrofa,wild,adis,IT-ASF-2026-q2bt6,2026-04-22,Toscana,Massa Carrara,Fivizzano,44.150388,10.134054,1.0,1.0,,374.83,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,IT-ASF-2026-kc6u5,2026-04-22,Toscana,Massa Carrara,Fivizzano,44.196399,10.116803,1.0,1.0,,369.8,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,IT-ASF-2026-7nze0,2026-04-22,Toscana,Massa Carrara,Casola In Lunigiana,44.187635,10.167049,1.0,1.0,,372.82,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,IT-ASF-2026-4m4ir,2026-04-22,Toscana,Massa Carrara,Casola In Lunigiana,44.191164,10.159925,1.0,1.0,,372.17,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,IT-ASF-2026-65vpt,2026-04-22,Toscana,Massa Carrara,Fivizzano,44.191858,10.1046,1.0,1.0,,369.69,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,IT-ASF-2026-07odu,2026-04-22,Toscana,Lucca,Pieve Fosciana,44.129886,10.381679,1.0,1.0,,387.78,,
Rabies virus (Inf. with),RABV,,,adis,TR-RABIES-2026-3sf9p,2026-04-22,DİYARBAKIR,SUR,,37.93,40.27,2.0,1.0,,2848.9,,
Sheep pox and goat pox,,Sheep,,adis,MK-CAPRIPOX-2026-t61oy,2026-04-22,Staro Nagoričane,,,42.170823,21.853639,2.0,2.0,288.0,1256.43,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,HU-ASF-2026-vlot1,2026-04-22,Szabolcs-Szatmár-Bereg,Mátészalka,,47.758426,22.381637,1.0,,,1126.87,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-qlo4i,2026-04-22,Zachodniopomorskie,Gryfice,Gryfice,53.893191,15.165077,1.0,1.0,,945.05,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-456zd,2026-04-22,Zachodniopomorskie,Łobez,Dobra,53.614721,15.287264,1.0,1.0,,926.12,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-x1tus,2026-04-22,Zachodniopomorskie,Pyrzyce,Przelewice,53.140408,15.109675,1.0,,,878.47,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-y0hr3,2026-04-22,Zachodniopomorskie,Stargard,Dobrzany,53.360613,15.417625,1.0,1.0,,910.38,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-mz0zf,2026-04-22,Zachodniopomorskie,Stargard,Ińsko,53.447011,15.469104,5.0,5.0,,919.83,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-khb5q,2026-04-22,Zachodniopomorskie,Choszczno,Krzęcin,53.100777,15.42461,1.0,,,889.32,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-69dfp,2026-04-22,Podkarpackie,Przemyśl,Dubiecko,49.858147,22.37883,1.0,1.0,,1146.54,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-u9k7y,2026-04-22,Podkarpackie,Przemyśl,Dubiecko,49.856653,22.351789,10.0,10.0,,1144.61,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-nvhg2,2026-04-22,Podkarpackie,Przemyśl,Dubiecko,49.854736,22.345544,1.0,1.0,,1144.13,,
Mycobacterium tuberculosis complex (Inf. with)(2019-),,Cattle,,adis,IT-MTBC-2026-4gyb2,2026-04-22,Toscana,Florence,Borgo San Lorenzo,,,2.0,,13.0,,,
Enzootic bovine leukosis,,Cattle,,adis,PL-EBL-2026-nq4sn,2026-04-22,Warmińsko-Mazurskie,Gołdap,Gołdap,,,2.0,,27.0,,,
Mycobacterium tuberculosis complex (Inf. with)(2019-),,Cattle,,adis,IT-MTBC-2026-yvjzt,2026-04-22,Basilicata,Matera,Ferrandina,,,15.0,,20.0,,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,DE-ASF-2026-mqm86,2026-04-22,Nordrhein-Westfalen,Hochsauerlandkreis,Schmallenberg,51.114,8.24,1.0,1.0,,466.82,,
Mycobacterium tuberculosis complex (Inf. with)(2019-),,Cattle,,adis,IT-MTBC-2026-x4r3q,2026-04-22,Marche,Ancona,Sassoferrato,,,12.0,,92.0,,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-k3vb0,2026-04-22,Taurages,Tauragės,,55.253624,22.289971,1.0,1.0,,1383.05,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-bsjco,2026-04-22,Panevezio,Panevėžio,,55.619982,24.176981,3.0,3.0,,1504.36,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-fv9mt,2026-04-22,Panevezio,Panevėžio,,55.530852,24.239101,5.0,5.0,,1502.3,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-nhb3p,2026-04-22,Panevezio,Panevėžio,,55.512414,24.236733,4.0,4.0,,1501.08,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-tgqoz,2026-04-22,Panevezio,Panevėžio,,55.551398,24.177577,5.0,5.0,,1500.26,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-lthz7,2026-04-22,Panevezio,Panevėžio,,55.51951,24.237663,5.0,5.0,,1501.55,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-uolqa,2026-04-22,Panevezio,Panevėžio,,55.525363,24.226219,5.0,5.0,,1501.29,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-gfzwi,2026-04-22,Panevezio,Panevėžio,,55.580645,24.091422,5.0,5.0,,1497.47,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-p3qej,2026-04-22,Panevezio,Panevėžio,,55.830195,24.079098,5.0,5.0,,1512.08,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-2a51f,2026-04-22,Panevezio,Panevėžio,,55.641971,24.058306,4.0,4.0,,1499.44,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-4is5e,2026-04-22,Šiauliai,Šiaulių,,55.848527,23.35889,1.0,1.0,,1476.22,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-ypx9w,2026-04-22,Vilniaus,Ukmergės,,55.452994,24.655712,1.0,1.0,,1520.02,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-0ly92,2026-04-22,Šiauliai,Radviliškio,,55.661751,24.019864,1.0,1.0,,1498.63,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-qgmfo,2026-04-22,Panevezio,Panevėžio,,55.651213,24.062049,2.0,2.0,,1500.2,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-uf70c,2026-04-22,Panevezio,Panevėžio,,55.663049,24.062919,4.0,4.0,,1500.97,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-6hp33,2026-04-22,Panevezio,Panevėžio,,55.512493,24.214894,1.0,1.0,,1499.92,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-9w820,2026-04-22,Panevezio,Biržų,,56.216162,24.943787,4.0,4.0,,1580.58,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-jj3ud,2026-04-22,Panevezio,Panevėžio,,55.518388,24.189876,5.0,5.0,,1498.94,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-m95m1,2026-04-22,Panevezio,Panevėžio,,55.529658,24.168081,5.0,5.0,,1498.46,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-u8gbs,2026-04-22,Kauno,Kėdainių,,55.443708,24.219843,1.0,1.0,,1496.1,,
HPAI(NON-P) in Captive Birds,H5N1,Birds,poultry,adis,UA-HPAI(NON-P)-2026-2iqy4,2026-04-22,Kiev,Ivankivs'kyi,,50.79945,30.0451,8.0,8.0,8.0,1699.87,,
Newcastle disease virus in non-poultry for AHL,,Birds,,adis,PL-ND.NON-P-2026-j0vqp,2026-04-22,Łódzkie,Sieradz,Wróblew,,,58.0,46.0,58.0,,,
Foot and mouth disease virus (Inf. with),SAT 1,Sheep/goats (mixed herd),,adis,GR-FMD-2026-myf27,2026-04-22,Lesvos,Lesvos,,39.257536,26.158089,90.0,0.0,630.0,1736.84,,
High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Birds,poultry,adis,PL-HPAI(P)-2026-3qkng,2026-04-22,Warmińsko-Mazurskie,Iława,Iława (rural),53.579442,19.532499,8997.0,44.0,8997.0,1129.45,,
High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Birds,poultry,adis,PL-HPAI(P)-2026-rpcsg,2026-04-22,Kujawsko-Pomorskie,Lipno,Lipno (rural),52.808306,19.103323,11318.0,100.0,11318.0,1057.18,,
HPAI(NON-P) in Wild Birds,H5N1,Cygnus olor,wild,adis,AT-HPAI(NON-P)-2026-tjob4,2026-04-22,Wien,Wien,Wien,48.23698,16.39911,1.0,1.0,,685.99,,
HPAI(NON-P) in Wild Birds,H5N1,Cygnus olor,wild,adis,AT-HPAI(NON-P)-2026-nyuxx,2026-04-22,Wien,Wien,Wien,48.193469,16.451923,1.0,1.0,,689.15,,
HPAI(NON-P) in Wild Birds,H5N1,Cygnus olor,wild,adis,AT-HPAI(NON-P)-2026-tyna0,2026-04-22,Wien,Wien,Wien,48.24295,16.396863,1.0,1.0,,685.93,,
Foot and mouth disease virus (Inf. with),SAT 1,Sheep/goats (mixed herd),,adis,GR-FMD-2026-ivf7o,2026-04-22,Lesvos,Lesvos,,39.281489,26.108499,136.0,0.0,1800.0,1731.82,,
Foot and mouth disease virus (Inf. with),SAT 1,Sheep,,adis,GR-FMD-2026-vrf0c,2026-04-22,Lesvos,Lesvos,,39.272357,26.257471,90.0,0.0,455.0,1742.85,,
Foot and mouth disease virus (Inf. with),SAT 1,Cattle,,adis,GR-FMD-2026-xt8vk,2026-04-22,Lesvos,Lesvos,,39.334122,26.285277,0.0,0.0,4.0,1740.83,,
Rabies virus (Inf. with),RABV,Vulpes vulpes,wild,adis,MD-RABIES-2026-tfgz4,2026-04-22,Hîncesti,,,46.836232,28.31464,1.0,1.0,,1581.01,,
Foot and mouth disease virus (Inf. with),SAT 1,Sheep,,adis,GR-FMD-2026-6arv6,2026-04-22,Lesvos,Lesvos,,39.204437,26.173446,62.0,0.0,150.0,1741.36,,
HPAI(NON-P) in Wild Birds,H5N1,Anser anser,wild,adis,NO-HPAI(NON-P)-2026-dzvg9,2026-04-22,Nordland,Bø,,68.60877,14.44445,1.0,1.0,,2440.38,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,DE-ASF-2026-7ywpp,2026-04-22,Nordrhein-Westfalen,Siegen-Wittgenstein,Bad Berleburg,51.06,8.32,1.0,1.0,,461.63,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,DE-ASF-2026-610vg,2026-04-22,Nordrhein-Westfalen,Siegen-Wittgenstein,Hilchenbach,51.0,8.04,1.0,1.0,,452.63,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,DE-ASF-2026-7bm1z,2026-04-22,Nordrhein-Westfalen,Siegen-Wittgenstein,Hilchenbach,50.99,8.188,1.0,0.0,,452.68,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,IT-ASF-2026-c518f,2026-04-22,Toscana,Lucca,Pieve Fosciana,44.13652,10.383378,1.0,1.0,,387.25,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,IT-ASF-2026-fz9a2,2026-04-22,Toscana,Lucca,Pieve Fosciana,44.128545,10.368516,1.0,1.0,,387.3,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,IT-ASF-2026-wgsij,2026-04-22,Toscana,Lucca,Castelnuovo Di Garfagnana,44.12738,10.376816,1.0,1.0,,387.78,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,IT-ASF-2026-vhmk8,2026-04-22,Toscana,Lucca,Piazza Al Serchio,44.211635,10.309592,1.0,1.0,,377.04,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,IT-ASF-2026-wacu7,2026-04-22,Toscana,Lucca,Piazza Al Serchio,44.201438,10.300698,1.0,1.0,,377.56,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,IT-ASF-2026-u0uhm,2026-04-22,Toscana,Lucca,Piazza Al Serchio,44.222339,10.33794,1.0,1.0,,377.37,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,IT-ASF-2026-8moug,2026-04-22,Toscana,Lucca,Piazza Al Serchio,44.204654,10.328101,1.0,1.0,,378.52,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,IT-ASF-2026-2ae8t,2026-04-22,Toscana,Lucca,Piazza Al Serchio,44.230849,10.305352,1.0,1.0,,375.1,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,IT-ASF-2026-eo66d,2026-04-22,Toscana,Lucca,Camporgiano,44.158135,10.348435,1.0,1.0,,383.68,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,IT-ASF-2026-wyvoi,2026-04-22,Toscana,Lucca,Piazza Al Serchio,44.202169,10.304934,1.0,1.0,,377.68,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,IT-ASF-2026-ydgjw,2026-04-22,Toscana,Lucca,Camporgiano,44.120091,10.355442,1.0,1.0,,387.47,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,IT-ASF-2026-4sxao,2026-04-22,Toscana,Lucca,Sillano,44.233906,10.299934,1.0,1.0,,374.57,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,EE-ASF-2026-k2fw0,2026-04-22,Rapla,Juuru,Pirgu,59.114982,24.847138,2.0,2.0,,1773.54,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,RO-ASF-2026-g0yxg,2026-04-22,Mureș,Livezeni,,46.524801,24.635879,1.0,1.0,,1308.12,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,RO-ASF-2026-oxdsx,2026-04-22,Mureș,Alunis,,46.89507,24.825283,1.0,1.0,,1317.09,,
Mycobacterium tuberculosis complex (Inf. with)(2019-),,Cattle,,adis,FR-MTBC-2026-a1hkp,2026-04-23,Orne,,,,,1.0,,180.0,,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,BA-ASF-2026-1g9k1,2026-04-23,Federacija Bosna i Hercegovina,Central Bosnia,Bugojno,44.01627,17.432138,1.0,1.0,,843.15,,
HPAI(NON-P) in Wild Birds,H5N1,Alopochen aegyptiaca,wild,adis,DE-HPAI(NON-P)-2026-w8twk,2026-04-23,Hessen,Vogelsbergkreis,Alsfeld,50.745,9.27,1.0,1.0,,442.73,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-n0ax1,2026-04-23,Lubuskie,Strzelce-Drezdenko,Strzelce Krajeńskie,52.976816,15.606576,1.0,1.0,,887.72,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-8nibk,2026-04-23,Lubuskie,Strzelce-Drezdenko,Strzelce Krajeńskie,52.965066,15.624615,1.0,1.0,,887.62,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,IT-ASF-2026-4k8ng,2026-04-23,Piemonte,Alessandria,Ponti,44.637591,8.341193,1.0,1.0,,266.08,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,IT-ASF-2026-3m5sl,2026-04-23,Piemonte,Alessandria,Ponti,44.651338,8.341699,1.0,1.0,,264.62,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,IT-ASF-2026-z4jwk,2026-04-23,Piemonte,Alessandria,Ponti,44.641155,8.360079,1.0,1.0,,266.09,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,IT-ASF-2026-k57pz,2026-04-23,Piemonte,Alessandria,Ponti,44.615345,8.3668,1.0,1.0,,268.99,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,IT-ASF-2026-ehbja,2026-04-23,Piemonte,Alessandria,Ponti,44.617212,8.372806,1.0,1.0,,268.92,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,IT-ASF-2026-lxsjy,2026-04-23,Piemonte,Alessandria,Ponti,44.612776,8.342501,1.0,1.0,,268.78,,
A.S.F. in wild boar,,,wild,adis,SK-ASF-2026-f8gbi,2026-04-23,Žilinský,Žilina,,,,,,1.0,,,
HPAI(NON-P) in Wild Birds,H5N1,Cygnus (incognita),wild,adis,DE-HPAI(NON-P)-2026-8ul66,2026-04-23,Schleswig-Holstein,Segeberg,Trave-Land,53.99,10.34,1.0,1.0,,809.18,,
HPAI(NON-P) in Wild Birds,H5N1,Branta leucopsis,wild,adis,DE-HPAI(NON-P)-2026-hwoed,2026-04-23,Schleswig-Holstein,Dithmarschen,Büsum-Wesselburen,54.128,8.857,1.0,1.0,,804.53,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,DE-ASF-2026-h73eo,2026-04-23,Nordrhein-Westfalen,Olpe,Kirchhundem,51.05,8.08,1.0,1.0,,458.45,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,DE-ASF-2026-al9px,2026-04-23,Nordrhein-Westfalen,Olpe,Kirchhundem,51.05,8.03,1.0,1.0,,458.09,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,DE-ASF-2026-uicsu,2026-04-23,Nordrhein-Westfalen,Olpe,Kirchhundem,51.05,8.08,1.0,1.0,,458.45,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,DE-ASF-2026-h9nmd,2026-04-23,Nordrhein-Westfalen,Olpe,Kirchhundem,51.065,8.07,1.0,1.0,,460.03,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,DE-ASF-2026-tytf0,2026-04-23,Nordrhein-Westfalen,Olpe,Kirchhundem,51.017,8.06,1.0,1.0,,454.65,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,DE-ASF-2026-iism1,2026-04-23,Nordrhein-Westfalen,Olpe,Kirchhundem,51.016,8.06,1.0,1.0,,454.54,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,DE-ASF-2026-c1u72,2026-04-23,Nordrhein-Westfalen,Olpe,Kirchhundem,51.008,8.05,1.0,1.0,,453.58,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,DE-ASF-2026-8t2z6,2026-04-23,Nordrhein-Westfalen,Siegen-Wittgenstein,Hilchenbach,51.0,8.05,1.0,1.0,,452.7,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,HU-ASF-2026-fqxn2,2026-04-23,Fejér,Bicske,,47.524946,18.517081,1.0,,,837.49,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,HU-ASF-2026-gbmj2,2026-04-23,Pest,Szentendre,,47.744588,19.049426,1.0,1.0,,877.76,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,HU-ASF-2026-3zaks,2026-04-23,Pest,Szob,,47.845796,18.865548,1.0,1.0,,864.41,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,HU-ASF-2026-nociy,2026-04-23,Pest,Szob,,47.824332,18.892937,1.0,1.0,,866.36,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,HU-ASF-2026-u5sp9,2026-04-23,Pest,Szob,,47.841592,18.855074,1.0,1.0,,863.61,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,HU-ASF-2026-udmiy,2026-04-23,Pest,Pilisvörösvár,,47.592777,18.8173,1.0,,,860.07,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,HU-ASF-2026-fgjhc,2026-04-23,Komárom-Esztergom,Tatabánya,,47.619071,18.492302,2.0,,,835.75,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,HU-ASF-2026-crogl,2026-04-23,Komárom-Esztergom,Tatabánya,,47.600871,18.462692,1.0,,,833.5,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,HU-ASF-2026-o2l9l,2026-04-23,Komárom-Esztergom,Tatabánya,,47.612758,18.390225,1.0,1.0,,828.09,,
A.S.F. in domestic pigs,,Swine,,adis,RO-ASF-2026-d22ev,2026-04-23,Sălaj,Horoatu Crasnei,,47.123161,22.89428,1.0,1.0,1.0,1168.89,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-sw4xy,2026-04-23,Zachodniopomorskie,Gryfino,Widuchowa,53.140475,14.472376,1.0,,,851.06,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-rz8e0,2026-04-23,Zachodniopomorskie,Gryfino,Widuchowa,53.052846,14.506085,1.0,1.0,,844.92,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-6vxkr,2026-04-23,Zachodniopomorskie,Gryfice,Gryfice,53.866744,15.139565,1.0,,,941.71,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-o5q7f,2026-04-23,Zachodniopomorskie,Kamień,Wolin,53.847141,14.6222,1.0,1.0,,919.39,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-5ny0n,2026-04-23,Zachodniopomorskie,Wałcz,Mirosławiec,53.364134,15.983013,1.0,1.0,,936.12,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-08ftm,2026-04-23,Podkarpackie,Rzeszów,Hyżne,49.93153,22.218502,1.0,1.0,,1136.83,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-6iyz5,2026-04-23,Podkarpackie,Rzeszów,Hyżne,49.90403,22.216596,4.0,4.0,,1136.1,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-7wee9,2026-04-23,Podkarpackie,Rzeszów,Chmielnik,49.987445,22.133637,1.0,1.0,,1132.12,,
Foot and mouth disease virus (Inf. with),SAT 1,Sheep,,adis,GR-FMD-2026-hn4uh,2026-04-23,Lesvos,Lesvos,,39.295952,26.296245,0.0,0.0,14.0,1744.05,,
Foot and mouth disease virus (Inf. with),SAT 1,Sheep/goats (mixed herd),,adis,GR-FMD-2026-sygkc,2026-04-23,Lesvos,Lesvos,,39.296918,26.294933,0.0,0.0,4.0,1743.9,,
HPAI(NON-P) in Wild Birds,H5N1,Accipitridae (incognita),wild,adis,DE-HPAI(NON-P)-2026-koxte,2026-04-23,Schleswig-Holstein,Nordfriesland,Viöl,54.512,9.136,1.0,1.0,,849.37,,
HPAI(NON-P) in Wild Birds,H5N1,Anser anser,wild,adis,DE-HPAI(NON-P)-2026-e2zea,2026-04-23,Schleswig-Holstein,Plön,Lütjenburg,54.3,10.604,1.0,1.0,,847.07,,
HPAI(NON-P) in Wild Birds,H5N1,Anser anser,wild,adis,DE-HPAI(NON-P)-2026-fmaod,2026-04-23,Schleswig-Holstein,Plön,Probstei,54.344,10.26,1.0,1.0,,845.79,,
HPAI(NON-P) in Wild Birds,H5N1,Anatidae (incognita),wild,adis,DE-HPAI(NON-P)-2026-l3vc7,2026-04-23,Schleswig-Holstein,Plön,Probstei,54.43,10.32,1.0,1.0,,856.03,,
HPAI(NON-P) in Wild Birds,H5N1,Phalacrocoracidae (incognita),wild,adis,DE-HPAI(NON-P)-2026-15zhr,2026-04-23,Schleswig-Holstein,Plön,Probstei,54.434,10.327,1.0,1.0,,856.58,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,UA-ASF-2026-mnrkz,2026-04-23,Vinnytsya,Mohyliv-Podil's'kyi,,48.422883,28.038337,11.0,11.0,,1545.34,,
HPAI(NON-P) in Wild Birds,H5N1,Ciconia ciconia,wild,adis,PL-HPAI(NON-P)-2026-6f1b5,2026-04-23,Mazowieckie,Płońsk,Baboszewo,52.692638,20.247259,1.0,1.0,,1116.04,,
HPAI(NON-P) in Wild Birds,H5N1,Ciconia ciconia,wild,adis,PL-HPAI(NON-P)-2026-urib6,2026-04-23,Mazowieckie,Płońsk,Baboszewo,52.681023,20.279239,1.0,1.0,,1117.27,,
Sheep pox and goat pox,,Sheep,,adis,RO-CAPRIPOX-2026-d4zkk,2026-04-23,Mureș,Voivodeni,,46.697721,24.563256,398.0,0.0,398.0,1299.98,,
Rabies virus (Inf. with),RABV,Dogs,,adis,RO-RABIES-2026-5vktb,2026-04-23,Iași,Probota,,47.350393,27.497869,1.0,1.0,2.0,1512.74,,
Foot and mouth disease virus (Inf. with),SAT 1,Sheep,,adis,GR-FMD-2026-16hrr,2026-04-23,Lesvos,Lesvos,,39.285714,26.280118,80.0,0.0,245.0,1743.58,,
HPAI(NON-P) in Wild Birds,H5N1,Bubo bubo,wild,adis,FI-HPAI(NON-P)-2026-yyhsn,2026-04-23,Etelä-Suomen aluehallintovirasto,Kanta-Häme,Janakkala,60.92765,24.529888,1.0,1.0,,1902.43,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,DE-ASF-2026-h47eh,2026-04-23,Sachsen,Görlitz,Markersdorf,51.15,14.85,1.0,1.0,,713.08,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,DE-ASF-2026-g7t13,2026-04-23,Sachsen,Görlitz,Markersdorf,51.15,14.85,1.0,1.0,,713.08,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,DE-ASF-2026-pgh2q,2026-04-23,Sachsen,Görlitz,Markersdorf,51.15,14.849,1.0,1.0,,713.03,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,DE-ASF-2026-ikxht,2026-04-23,Sachsen,Görlitz,Diehsa,51.2,14.83,1.0,1.0,,715.43,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,DE-ASF-2026-5n2tx,2026-04-23,Sachsen,Görlitz,Markersdorf,51.15,14.85,1.0,1.0,,713.08,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,DE-ASF-2026-23nyd,2026-04-23,Sachsen,Görlitz,Markersdorf,51.15,14.85,1.0,1.0,,713.08,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,DE-ASF-2026-tfpsz,2026-04-23,Sachsen,Görlitz,Markersdorf,51.15,14.85,1.0,1.0,,713.08,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,DE-ASF-2026-6ihme,2026-04-23,Sachsen,Görlitz,Markersdorf,51.15,14.849,1.0,1.0,,713.03,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,MD-ASF-2026-ygsoq,2026-04-23,Leova,,,46.602913,28.24197,1.0,,,1579.38,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LV-ASF-2026-pufqf,2026-04-23,Tukuma,Pūres pagasts,,57.049489,22.827787,1.0,0.0,,1532.72,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,DE-ASF-2026-n2zjs,2026-04-23,Nordrhein-Westfalen,Siegen-Wittgenstein,Hilchenbach,50.99,8.09,1.0,0.0,,451.89,,
HPAI(NON-P) in Wild Birds,H5N1,Cygnus olor,wild,adis,AT-HPAI(NON-P)-2026-z8uce,2026-04-23,Niederösterreich,Tulln,Klosterneuburg,48.294672,16.34285,1.0,1.0,,682.88,,
Equine infectious anaemia,,Equidae (dom),,adis,RO-EIA-2026-li5ob,2026-04-23,Suceava,Stulpicani,,,,1.0,,1.0,,,
Sheep pox and goat pox,,Sheep,,adis,GR-CAPRIPOX-2026-r30qk,2026-04-23,Aitoloakarnania,Iera Poli Mesolongiou,,38.449728,21.25793,25.0,1.0,77.0,1468.18,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-8jo3a,2026-04-24,Podkarpackie,Przemyśl,Dubiecko,49.84733,22.35276,1.0,1.0,,1144.49,,
